year,day,rain,maxt,mint,meant,soilt,rhmean,vp,vpd,windspeed,radn
2024,284,0.0,29.55,13.5,21.525,21.195833,69.916664,15.900135,0.97824764,2.5803816,14.64
2024,285,0.0,27.7,14.5,21.1,20.860416,71.291664,16.219395,0.8803015,4.5585437,9.36
2024,286,0.0,28.45,16.7,22.575,22.014582,58.041668,14.800835,1.257851,5.0662365,14.96
2024,287,0.0,26.4,13.1,19.75,19.702084,65.875,14.008917,0.9013718,3.0795763,15.38
2024,288,0.0,25.45,13.6,19.525002,18.852083,75.5,16.10953,0.6593773,1.4949487,13.82
2024,289,0.0,26.45,10.8,18.625,17.831251,66.708336,12.607278,0.8857104,2.4707296,15.08
2024,290,0.0,26.35,10.7,18.525,17.889584,66.125,12.358223,0.8972225,2.1598132,15.0
2024,291,0.0,20.55,12.05,16.3,15.925,71.375,12.890753,0.5642864,5.3368363,8.8
2024,292,0.0,20.05,11.5,15.775,16.172916,68.958336,11.737531,0.61850727,3.6529932,12.58
2024,293,0.1,18.35,10.55,14.450001,14.960416,75.625,11.991966,0.4466397,3.9949434,7.76
2024,294,0.0,18.95,11.5,15.225,14.695834,73.458336,12.482723,0.48187768,3.6246185,8.37
2024,295,0.0,19.8,8.2,14.0,13.497917,77.208336,11.579063,0.44064626,2.1359503,13.92
2024,296,0.0,19.8,6.0,12.9,12.2,74.125,10.132553,0.47469774,2.0285633,13.3
2024,297,0.0,21.35,4.4,12.875,11.65625,65.375,8.490395,0.6364799,1.5618311,14.16
2024,298,0.0,21.65,5.0,13.325,11.76875,69.916664,9.405577,0.5893038,1.9565659,13.78
2024,299,0.0,20.45,6.3,13.375,12.341667,73.375,10.168982,0.51796097,1.468084,12.77
2024,300,0.0,20.9,6.8,13.85,12.754167,75.666664,10.991716,0.4838866,1.4486836,12.75
2024,301,0.0,21.0,5.5,13.25,11.597917,72.541664,9.838615,0.5385298,1.5836949,12.68
2024,302,0.0,21.7,3.4,12.55,10.770833,66.083336,7.9518824,0.659012,1.5405413,13.19
2024,303,0.0,23.75,4.35,14.05,12.714583,59.625,7.7984,0.82390684,1.5477074,12.34
2024,304,0.0,22.45,7.65,15.05,14.572917,72.625,11.453339,0.56545395,2.303735,12.65
2024,305,0.0,21.2,10.65,15.925,14.675,72.958336,12.625048,0.5470304,3.7529175,10.96
2024,306,0.0,21.3,6.35,13.825,12.683333,63.916668,8.9414215,0.6863466,2.235523,12.01
2024,307,0.0,21.75,4.85,13.3,11.827084,66.833336,8.963268,0.631041,1.5265554,12.37
2024,308,0.0,20.0,5.45,12.725,12.425,80.041664,10.988848,0.3721067,4.665772,9.84
2024,309,0.0,19.5,8.55,14.025,13.495833,77.0,11.735823,0.42756543,1.586351,9.82
2024,310,0.0,15.95,7.35,11.65,11.472917,84.125,11.154079,0.25506774,2.5318124,5.36
2024,311,0.0,16.9,6.15,11.525,11.383334,74.625,9.558229,0.40336597,1.7906419,9.92
2024,312,0.0,16.45,4.4,10.425,10.152083,78.916664,9.321047,0.33122918,2.2143629,11.14
2024,313,0.0,16.95,2.55,9.75,8.943749,72.875,8.018156,0.40568677,2.0677602,11.05
2024,314,0.0,18.45,2.45,10.450001,8.635417,63.416668,6.955133,0.56993145,2.4132817,11.78
2024,315,0.0,15.2,1.6,8.4,8.408334,76.5,7.839986,0.31831247,3.5567834,8.27
2024,316,0.4,15.05,5.75,10.4,10.520833,82.416664,10.02093,0.25913346,4.690529,7.11
2024,317,16.999998,10.2,9.4,9.799999,9.947917,92.666664,11.228954,0.08866689,2.8315475,1.5
2024,318,12.9,10.8,9.3,10.05,10.445833,96.083336,11.824821,0.049560536,1.8213838,1.48
2024,319,0.0,13.95,10.0,11.975,11.847917,95.041664,13.273402,0.072867416,1.776082,3.73
2024,320,17.5,14.6,10.4,12.5,12.095833,94.958336,13.737384,0.07569514,3.891325,2.92
2024,321,7.1000004,10.75,7.4,9.075,9.016666,88.208336,10.157879,0.13806462,7.160809,2.93
2024,322,0.0,12.25,4.65,8.45,8.241667,90.041664,9.771772,0.12888089,1.4639348,8.89
2024,323,0.0,12.7,3.4,8.05,7.61875,91.916664,9.709736,0.105418645,1.6603123,7.21
2024,324,0.0,12.8,3.9,8.35,7.7625003,94.25,10.228703,0.075704865,1.2793037,6.2
2024,325,0.0,16.85,6.55,11.700001,11.435417,84.458336,11.035968,0.27141675,4.6067367,7.87
2024,326,0.0,21.45,8.6,15.025001,13.383334,57.5,8.751986,0.8328388,9.425615,7.41
2024,327,0.0,18.6,4.3,11.450001,11.239583,74.083336,8.996094,0.45284677,7.0876527,4.55
2024,328,0.0,17.15,3.4,10.275,9.416667,46.25,5.231036,0.7276308,11.078716,9.63
2024,329,0.0,11.1,-0.2,5.4500003,3.9291668,55.291668,4.601704,0.43989453,1.8621937,10.13
2024,330,0.0,10.7,-3.5,3.6,3.0249999,77.125,5.4378223,0.24683899,1.5830503,8.99
2024,331,0.0,11.3,-2.95,4.175,3.3062499,80.208336,6.0242243,0.22088344,1.2648715,8.58
2024,332,0.0,13.85,-0.9,6.4750004,5.0916667,85.25,7.7437925,0.19189902,1.7907463,8.31
2024,333,0.0,14.1,2.45,8.275001,6.8999996,87.5,9.16237,0.17675509,1.219418,7.83
2024,334,0.0,12.7,2.6,7.6499996,8.20625,94.583336,9.771216,0.070307374,1.8402756,6.18
2024,335,20.2,9.25,7.1,8.175,8.172916,94.916664,10.316495,0.05393711,7.102846,0.91
2024,336,9.499999,8.5,6.95,7.725,7.464583,87.0,9.148973,0.13790941,12.412948,2.4
2024,337,8.200002,10.65,8.4,9.525,8.435416,88.125,10.5009775,0.13928269,7.9817142,1.64
2024,338,0.0,13.1,7.4,10.25,9.568749,87.583336,10.828722,0.16577339,2.2410684,7.69
2024,339,0.3,13.05,6.95,10.0,9.8875,93.416664,11.37705,0.09021745,1.7992638,5.02
2024,340,3.1000001,13.0,9.15,11.075,10.5125,93.166664,12.25696,0.093533754,7.19262,2.17
2024,341,2.8,11.25,9.6,10.425,10.170833,95.333336,12.032325,0.060101416,2.8474874,0.95
2024,342,2.7999997,12.25,8.8,10.525,10.079166,97.25,12.3471985,0.03707549,2.243601,2.24
2024,343,2.5,10.95,8.25,9.6,9.685416,94.333336,11.26058,0.0693363,3.2729232,4.22
2024,344,4.4,14.7,5.75,10.225,10.208333,93.333336,11.4909,0.09746933,4.7036824,6.44
2024,345,0.5,12.45,6.5,9.475,9.495833,94.291664,11.129332,0.0724526,3.67568,5.95
2024,346,0.0,12.1,5.95,9.025,8.977083,93.583336,10.670138,0.08294939,1.5716597,6.5
2024,347,0.0,10.6,5.8,8.200001,7.6687503,94.875,10.277854,0.059648495,1.3154064,5.46
2024,348,0.0,12.05,4.25,8.15,7.5645833,93.333336,9.991532,0.084589124,2.6436217,5.26
2024,349,0.3,11.0,4.05,7.525,7.85,93.416664,9.602838,0.07823614,2.727072,5.36
2024,350,4.1,10.4,6.4,8.4,8.085417,96.0,10.548775,0.04743355,2.6179023,3.17
2024,351,0.0,11.45,2.75,7.1,6.7479167,78.708336,7.6700664,0.24171901,3.8638308,8.63
2024,352,0.0,12.15,0.5,6.325,5.102083,87.25,8.025415,0.15378667,1.3861547,7.92
2024,353,0.0,11.8,0.25,6.025,5.36875,93.375,8.597997,0.07689879,1.4160227,6.34
2024,354,0.0,9.0,2.7,5.85,5.535417,96.541664,8.902712,0.03514139,1.1797768,4.29
2024,355,0.0,7.95,2.0,4.975,5.3541665,96.625,8.378113,0.03295001,2.0631855,3.64
2024,356,0.0,12.85,2.65,7.75,6.4270835,82.541664,8.516218,0.20298286,5.9407883,6.46
2024,357,0.0,10.4,0.1,5.25,4.295833,85.541664,7.3013067,0.15749158,1.4713178,7.74
2024,358,8.3,7.95,-0.6,3.675,4.077083,97.25,7.681743,0.026644127,3.9759495,3.93
2024,359,0.0,9.0,3.1,6.05,6.0833335,92.708336,8.636039,0.07471666,3.9906623,5.14
2024,360,6.1,8.3,4.9,6.6000004,5.8937497,81.041664,7.8708763,0.18755199,9.500699,2.27
2024,361,7.699999,8.4,6.15,7.2749996,6.525,81.708336,8.347048,0.18619657,8.119351,2.28
