year,day,rain,maxt,mint,meant,soilt,rhmean,vp,vpd,windspeed,radn
2024,324,0.0,18.897999,11.247999,15.072999,13.2855,82.541664,14.00071,0.3132504,6.8700294,10.53
2024,325,0.0,20.147999,11.047999,15.598,15.339665,85.5,14.788883,0.29317418,15.036213,11.61
2024,326,0.0,20.948,14.997999,17.973,17.418833,85.875,17.54844,0.30557606,17.304632,11.44
2024,327,0.0,20.498,13.497999,16.998,16.489666,85.708336,16.363737,0.3010464,16.252192,11.75
2024,328,0.6,21.198,9.948,15.573,16.41675,75.666664,13.12097,0.45712838,23.954544,9.82
2024,329,0.0,10.848,8.348,9.598,9.702167,56.625,6.808008,0.5144327,37.009636,11.75
2024,330,0.0,12.047999,7.8980002,9.973,10.0855,61.791668,7.521035,0.47359875,27.718294,11.53
2024,331,0.0,13.348,8.398,10.872999,9.7105,68.541664,8.951408,0.40648994,16.879244,11.27
2024,332,0.0,16.897999,8.997999,12.947999,10.891749,82.333336,12.19117,0.27351794,8.198274,10.13
2024,333,0.0,16.298,10.047999,13.173,11.650083,83.416664,12.553374,0.25941798,8.604512,11.11
2024,334,0.0,18.897999,9.297999,14.098,12.431333,82.0,12.999592,0.30878794,7.504917,10.81
2024,335,0.0,17.147999,13.047999,15.098,14.077167,88.875,15.221342,0.19394493,22.204903,7.56
2024,336,4.0,15.698,10.348,13.023,12.750083,80.583336,11.923953,0.3075814,20.175787,7.93
2024,337,0.0,15.698,9.547999,12.622999,11.202167,84.458336,12.211375,0.2400464,11.132729,8.86
2024,338,0.0,13.297999,8.797999,11.047999,10.427167,90.583336,11.873043,0.12956108,11.887031,8.4
2024,339,0.0,16.948,9.198,13.073,11.906333,84.125,12.397595,0.26512918,5.392737,10.25
2024,340,0.0,16.748,10.148,13.448,12.96675,88.791664,13.539875,0.18819426,14.267119,9.76
2024,341,0.0,16.098,11.797999,13.948,13.110499,88.041664,13.991635,0.19400276,18.836508,9.26
2024,342,0.0,16.698,11.047999,13.872999,12.662582,84.875,13.35882,0.24954341,18.795828,10.69
2024,343,0.0,16.698,12.698,14.698,14.27925,89.208336,14.869306,0.18548518,24.349749,5.88
2024,344,0.0,18.048,14.598,16.323,15.104249,84.333336,15.6364565,0.2924344,24.475721,6.47
2024,345,0.0,18.998,14.497999,16.748,15.481334,80.791664,15.390934,0.36784396,19.657118,8.96
2024,346,0.0,18.598,11.948,15.273,14.350082,84.25,14.48748,0.2867464,9.01927,7.82
2024,347,0.0,16.398,10.747999,13.573,12.252167,83.791664,12.949799,0.259812,9.470364,8.45
2024,348,0.0,14.247999,10.448,12.348,11.664666,83.333336,11.932401,0.24178755,16.242731,8.64
2024,349,0.0,13.148,7.948,10.548,10.370916,78.166664,9.813325,0.29241613,14.808052,9.76
2024,350,0.0,16.998,10.747999,13.872999,12.56675,86.625,13.674522,0.21797319,17.06222,8.3
2024,351,0.6,13.148,9.198,11.173,11.183415,87.541664,11.617699,0.16607295,16.406195,4.89
2024,352,0.0,12.747999,7.998,10.372999,9.468833,79.541664,9.991589,0.25979468,17.463507,10.01
2024,353,0.0,15.348,7.848,11.598,10.458417,89.083336,12.023951,0.16337533,6.7824693,10.72
2024,354,0.0,15.247999,8.848,12.047999,10.431333,89.458336,12.476888,0.15927441,6.6862063,8.72
2024,355,0.0,17.198,8.297999,12.747999,12.104249,85.791664,12.382795,0.23493123,14.674228,9.78
2024,356,0.2,15.997999,8.598,12.297999,12.8605,82.25,11.412718,0.28904462,14.314616,10.32
2024,357,0.0,15.047999,7.8980002,11.473,10.327167,77.208336,10.258459,0.32867193,4.8502307,8.09
2024,358,0.0,14.747999,6.598,10.672999,11.195916,85.5,10.654985,0.21891117,17.802732,10.68
2024,359,13.8,12.747999,8.498,10.622999,9.768833,88.625,11.399849,0.14015083,20.298025,2.62
2024,360,0.0,12.797999,5.698,9.247999,8.633416,88.708336,10.233067,0.14409213,5.3990684,8.88
2024,361,0.0,13.698,5.548,9.623,9.123,83.625,9.825634,0.2146805,5.6420403,10.09
2024,362,1.4000001,11.948,7.998,9.973,9.487583,91.125,11.168022,0.1089001,24.21702,5.76
