year,day,rain,maxt,mint,meant,soilt,rhmean,vp,vpd,windspeed,radn
2025,60,0.0,16.857,7.007,11.932,12.273666,85.416664,11.451261,0.2511156,7.1689534,14.98
2025,61,0.0,18.457,6.857,12.657001,12.723667,85.291664,11.921495,0.27229738,4.970364,11.43
2025,62,0.0,15.157,8.657,11.907,12.427834,85.791664,11.765125,0.21742785,11.28569,9.27
2025,63,0.0,13.307,10.257,11.782,11.584084,63.083332,8.734283,0.50905555,20.198643,12.68
2025,64,0.0,15.457,11.407,13.431999,12.52575,78.958336,12.133418,0.32723233,10.982591,10.93
2025,65,0.0,17.657,9.157,13.407,12.661167,77.625,11.610283,0.3770372,10.14989,18.27
2025,66,0.0,17.607,7.707,12.657,13.063251,83.416664,11.74395,0.29005164,7.47308,19.44
2025,67,0.1,18.007,7.057,12.532,13.42575,75.125,10.309556,0.421527,9.326461,17.31
2025,68,0.2,18.157,8.957,13.556999,14.47575,76.125,11.501068,0.40306583,8.235742,17.71
2025,69,0.0,19.357,7.307,13.332001,14.248666,79.333336,11.509393,0.37962103,7.595342,19.32
2025,70,0.0,22.907,10.957,16.932,16.863249,71.583336,12.839981,0.6453335,22.004425,20.11
2025,71,0.0,24.157,18.657,21.407,20.359083,55.458332,14.650596,1.0847201,39.00297,18.82
2025,72,0.0,24.257,18.257,21.257,20.415335,51.416668,13.129304,1.2135243,33.16608,17.39
2025,73,0.0,23.757,15.407,19.582,20.432,49.125,10.841352,1.1942476,8.758695,20.74
2025,74,0.0,30.157,18.157,24.157,23.242416,22.833334,6.1211185,2.3999422,29.937181,21.62
2025,75,0.0,30.407,15.907,23.157,23.496582,36.958332,7.610117,2.0751226,30.158049,19.0
2025,76,0.0,22.107,14.407,18.257,17.648666,49.291668,10.280665,1.0694432,16.913357,15.91
2025,77,0.2,18.707,12.107,15.407001,16.046583,65.625,11.244741,0.6260166,10.693237,21.18
2025,78,3.9999998,12.807,9.807,11.307,11.277833,63.583332,8.640219,0.47567812,28.304945,14.79
2025,79,0.0,12.707,9.507,11.107,11.52575,51.625,6.7213097,0.64990586,26.29077,16.5
2025,80,0.5,14.857,11.157,13.007,12.648666,55.875,8.390339,0.65937364,20.378786,16.1
2025,81,0.0,16.707,7.357,12.032001,13.402833,69.541664,9.076652,0.497815,8.643895,22.36
2025,82,0.0,21.907,7.557,14.732,15.307,66.458336,9.912437,0.6848454,14.530052,22.29
2025,83,0.0,24.107,15.607,19.857,19.050749,46.833332,11.002118,1.2173749,23.798662,21.75
2025,84,0.0,25.907,16.557,21.231998,20.634085,32.458332,8.352642,1.6873207,15.491348,19.18
2025,85,0.0,25.557,18.107,21.832,21.01325,32.333332,8.504301,1.7664628,24.721628,12.55
2025,86,0.0,27.707,17.857,22.782001,23.417418,49.333332,12.978413,1.4746748,31.552256,18.89
2025,87,0.0,20.407,13.107,16.757,19.171583,63.083332,11.480312,0.7599962,11.271659,15.79
2025,88,0.0,20.557,12.057,16.307,16.998667,70.541664,12.781286,0.5760601,8.761851,18.22
2025,89,0.0,20.507,11.307,15.907,16.894499,72.875,12.787046,0.5287499,7.8792357,18.86
2025,90,0.0,21.107,11.107,16.107,17.048666,81.0,14.493919,0.38129902,8.113371,19.35
2025,91,0.0,18.607,12.757,15.682,15.811166,84.125,14.894538,0.2921691,5.9328456,13.08
2025,92,0.0,17.657,11.757,14.707,14.952834,80.041664,13.293224,0.34406507,6.335268,15.88
2025,93,0.0,18.457,10.807,14.632,15.159083,79.75,12.915932,0.37371275,8.950145,21.83
2025,94,0.0,18.407,9.407,13.907,15.665333,83.833336,12.828456,0.3060849,7.4757404,20.8
2025,95,0.0,18.707,9.207,13.957001,15.127833,76.541664,11.384605,0.455637,12.113979,22.04
2025,96,0.0,20.107,8.657,14.382,15.646584,71.958336,10.940245,0.54458904,9.119238,19.92
2025,97,0.0,22.857,11.107,16.982,17.907,72.416664,13.211252,0.6143315,11.017917,21.82
2025,98,6.2,14.907,11.607,13.257,12.748666,79.583336,12.183462,0.30474076,13.321038,3.69
2025,99,0.8,13.757,9.857,11.807,11.698667,71.5,9.827339,0.40203464,10.245641,11.15
2025,100,0.0,16.357,9.807,13.082001,14.056999,66.791664,9.767664,0.5290082,8.989462,23.68
2025,101,0.0,15.707,7.307,11.507,12.769501,69.333336,8.814039,0.47616634,12.096546,19.03
2025,102,0.0,19.857,6.807,13.332001,14.702834,74.166664,10.508936,0.4796667,8.770912,21.99
2025,103,0.0,16.657,8.657,12.657,14.344501,64.083336,8.731659,0.59128076,17.321991,24.49
2025,104,0.0,19.157,7.107,13.132,14.717416,68.125,9.513243,0.55937904,8.236815,25.17
2025,105,0.0,20.636,9.157,14.8965,15.515042,77.666664,12.294239,0.46453664,6.5285645,23.91
